"";"verbatimIdentification";"scientificName";"ScientificName2010";"ScientificName2018";"BirdTree";"tip.label"
"27";"Picoides dorsalis";"Picoides tridactylus";"Picoides tridactylus";"Picoides tridactylus";"Picoides dorsalis";"Picoides_dorsalis"
"28";"Picoides dorsalis";"Picoides tridactylus";"Picoides tridactylus";"Picoides tridactylus";"Picoides tridactylus";"Picoides_tridactylus"
"29";"Sterna hirundo";"Sterna hirundo";"Sterna hirundo";"Sterna hirundo";"Sterna hirundo";"Sterna_hirundo"
"30";"Nycticorax nycticorax";"Nycticorax nycticorax";"Nycticorax nycticorax";"Nycticorax nycticorax";"Nycticorax nycticorax";"Nycticorax_nycticorax"
"31";"Baeolophus bicolor";"Baeolophus bicolor";"Baeolophus bicolor";"Baeolophus bicolor";"Baeolophus bicolor";"Baeolophus_bicolor"
"32";"Junco hyemalis";"Junco hyemalis";"Junco hyemalis";"Junco hyemalis";"Junco hyemalis";"Junco_hyemalis"
"33";"Junco hyemalis";"Junco hyemalis";"Junco hyemalis";"Junco hyemalis";"Junco hyemalis";"Junco_hyemalis"
"34";"Corvus brachyrhynchos";"Corvus brachyrhynchos";"Corvus brachyrhynchos";"Corvus brachyrhynchos";"Corvus brachyrhynchos";"Corvus_brachyrhynchos"
"35";"Cathartes aura";"Cathartes aura";"Cathartes aura";"Cathartes aura";"Cathartes aura";"Cathartes_aura"
"36";"Toxostoma rufum";"Toxostoma rufum";"Toxostoma rufum";"Toxostoma rufum";"Toxostoma rufum";"Toxostoma_rufum"
"37";"Icterus galbula";"Icterus galbula";"Icterus galbula";"Icterus galbula";"Icterus galbula";"Icterus_galbula"
"38";"Dumetella carolinensis";"Dumetella carolinensis";"Dumetella carolinensis";"Dumetella carolinensis";"Dumetella carolinensis";"Dumetella_carolinensis"
"39";"Piranga olivacea";"Piranga olivacea";"Piranga olivacea";"Piranga olivacea";"Piranga olivacea";"Piranga_olivacea"
"40";"Dendroica pensylvanica";"Setophaga pensylvanica";"Dendroica pensylvanica";"Setophaga pensylvanica";"Dendroica pensylvanica";"Dendroica_pensylvanica"
"41";"Tyrannus tyrannus";"Tyrannus tyrannus";"Tyrannus tyrannus";"Tyrannus tyrannus";"Tyrannus tyrannus";"Tyrannus_tyrannus"
"42";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes_aedon"
"43";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes aedon";"Troglodytes_aedon"
"44";"Setophaga ruticilla";"Setophaga ruticilla";"Setophaga ruticilla";"Setophaga ruticilla";"Setophaga ruticilla";"Setophaga_ruticilla"
"45";"Hylocichla mustelina";"Hylocichla mustelina";"Hylocichla mustelina";"Hylocichla mustelina";"Hylocichla mustelina";"Hylocichla_mustelina"
"46";"Catharus fuscescens";"Catharus fuscescens";"Catharus fuscescens";"Catharus fuscescens";"Catharus fuscescens";"Catharus_fuscescens"
"47";"Vireo gilvus";"Vireo gilvus";"Vireo gilvus";"Vireo gilvus";"Vireo gilvus";"Vireo_gilvus"
"48";"Carpodacus mexicanus";"Haemorhous mexicanus";"Carpodacus mexicanus";"Haemorhous mexicanus";"Carpodacus mexicanus";"Carpodacus_mexicanus"
"49";"Buteo jamaicensis";"Buteo jamaicensis";"Buteo jamaicensis";"Buteo jamaicensis";"Buteo jamaicensis";"Buteo_jamaicensis"
"50";"Cyanocitta cristata";"Cyanocitta cristata";"Cyanocitta cristata";"Cyanocitta cristata";"Cyanocitta cristata";"Cyanocitta_cristata"
"51";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes_auratus"
"52";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes_auratus"
"53";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes auratus";"Colaptes_auratus"
"54";"Turdus migratorius";"Turdus migratorius";"Turdus migratorius";"Turdus migratorius";"Turdus migratorius";"Turdus_migratorius"
